arrival_flight_id,departure_flight_id,nb_connecting_pax,transfer_time_theoretical,transfer_time_actual,min_walking_time
8,1218,8,3900,4140,1015
8,489,12,3600,3720,2154
8,792,9,4800,4620,1849
8,637,4,4500,4860,3692
8,861,3,3600,4620,1795
8,617,11,4800,5160,2576
8,1358,9,4200,5640,1848
8,434,9,4500,5100,3853
8,1043,6,4500,5040,1461
8,267,5,3900,4680,2081
9,640,43,6600,7500,3072
9,1211,36,12900,13860,2436
11,629,3,5100,4500,3814
11,842,1,6300,5580,661
11,439,5,7200,6120,5527
11,269,6,11700,12780,2070
11,1309,6,9000,8340,4374
11,113,5,12300,14100,2197
11,466,3,11400,12360,1216
11,1190,8,7200,6540,670
11,621,7,12000,16020,3545
11,977,9,12000,16380,1395
11,650,7,4200,5520,1315
11,111,5,8400,8160,3905
14,980,45,5400,5280,4219
16,1161,21,11400,10860,642
16,1346,19,10200,11040,4467
17,249,12,13800,16860,3762
17,1208,15,5100,5100,2420
17,299,12,13500,15960,1866
17,451,14,4200,5100,3543
18,1361,4,3900,3960,3160
18,145,7,3900,4680,1154
19,438,11,3300,3900,2694
19,634,14,9900,11100,5405
19,88,11,7800,11580,3424
19,789,5,9300,17580,3895
22,422,57,5100,5220,3158
27,446,4,2700,3480,2066
27,1008,8,14400,14820,4437
27,616,6,3900,5580,3058
27,1169,8,8400,8940,5443
28,847,10,3600,3900,1836
28,629,17,6600,7140,2919
28,851,6,12600,13680,3193
29,468,5,6300,6240,5256
29,82,6,2700,4140,1629
29,489,9,12000,7620,4184
29,1363,7,4800,6600,638
29,1173,5,4200,8640,2075
29,1358,8,12600,9540,4649
29,1340,8,3600,-60,728
29,1311,5,4800,4380,3105
29,479,4,2700,0,840
29,981,7,3000,5880,2234
30,616,11,13800,16740,2615
30,277,6,11400,12540,4201
30,94,7,6900,8100,1750
30,989,13,3600,5160,1799
30,659,4,6000,8880,4008
30,1214,9,3600,5400,775
30,864,11,2700,4380,967
31,292,29,12000,7920,1102
31,111,41,3900,-2220,1101
36,654,37,4800,5400,1895
47,1379,36,13200,13740,2521
47,1356,26,4200,4200,1470
47,1378,22,13500,13860,1134
49,430,2,13800,14520,2008
49,86,14,3900,3120,3134
49,598,10,13200,15900,2121
49,184,8,9000,9960,3199
49,1175,6,13200,13680,2129
50,661,11,3600,6300,2129
