arrival_flight_id,departure_flight_id,nb_connecting_pax,transfer_time_theoretical,transfer_time_actual,min_walking_time
0,321,5,4500,3720,2180
0,167,8,4800,3900,4179
0,317,5,14100,13680,4191
0,460,4,10800,10320,2650
0,1236,7,12900,12120,3367
0,717,6,11400,10380,4496
0,732,11,11400,11640,2540
0,1022,6,9000,12660,4309
0,1083,6,5700,4800,1750
0,707,7,9900,9720,4513
0,102,4,3600,2640,1919
0,1241,10,8400,7560,2390
0,845,4,8100,7680,2301
0,141,9,12000,11940,2170
4,117,14,13800,16560,1393
4,1000,5,6600,7680,1504
4,157,10,3900,4560,2479
4,669,12,3900,5760,619
4,120,10,12000,13980,1957
7,1269,9,7500,7620,3813
7,1236,17,6300,6360,1921
7,359,11,12300,12720,2320
7,1026,9,5400,5280,1472
7,1246,6,7200,13320,1645
9,527,8,14100,13800,1687
9,1082,15,3000,3720,761
9,1425,4,5700,5400,736
9,357,7,12900,11820,600
9,473,5,3300,3840,2018
9,704,9,14400,13800,1101
9,733,7,7800,7020,2327
9,1024,7,4800,4140,1784
9,315,7,6900,7380,2223
9,1235,7,3300,3720,1954
9,1058,2,13200,12240,5029
12,320,5,5100,6000,3220
12,1235,10,6600,8940,2144
12,1005,8,7500,8280,3363
12,283,6,7200,8040,3630
12,1012,8,9900,12000,1497
12,681,4,5700,7020,4880
14,669,10,13500,15360,1240
14,310,7,5400,9000,3879
14,335,13,14100,15180,4112
14,141,5,5400,7140,3380
17,118,6,5700,6420,4484
17,683,6,6600,7140,2530
17,133,4,6300,6600,1030
17,1042,3,6900,9120,3314
17,1026,7,8100,8520,4872
17,141,9,8100,9420,4949
17,1025,4,5100,6060,1841
17,1061,5,5400,8580,894
17,139,5,5400,5940,2945
17,845,5,4200,5160,812
17,732,5,7500,9120,810
17,292,6,4500,4680,2476
18,522,5,5100,5820,2342
18,700,4,13500,15600,3433
18,855,11,13500,15420,3512
18,740,3,9000,9960,3515
18,667,3,12600,14820,2402
23,188,5,13500,13260,5368
23,896,6,11400,11820,5157
23,151,7,5400,6240,3839
23,656,3,12600,14400,5114
26,859,8,7800,8940,2087
27,151,6,5400,6120,907
27,1034,8,6900,6960,2907
27,687,4,10200,9900,1580
27,656,3,12600,14280,2045
27,847,3,4500,4560,1156
27,1077,7,10500,10620,5535
29,353,3,5400,7260,3158
29,1379,4,4500,6780,3285
29,464,5,14400,15780,3645
29,459,9,6000,7680,5285
29,1022,7,4500,10740,2675
29,528,6,6900,8640,4468
29,845,12,3600,5760,783
29,1386,7,3900,6540,2186
29,463,4,7800,9960,3464
35,541,21,10500,11040,2700
35,659,24,6600,7980,718
37,1080,23,10500,10980,855
37,298,22,14400,15060,5412
37,1436,27,6900,8400,3451
42,150,17,13500,14160,697
42,329,17,6900,7620,3822
42,1373,24,14100,15600,841
43,704,55,8100,9240,2356
44,512,13,2700,2340,830
44,1270,9,13500,15900,3838
44,1266,13,14400,14760,5460
44,1024,8,5100,5520,3943
44,326,6,13500,14280,4814
45,1394,19,10200,10440,1901
45,546,29,8700,11280,4586
45,294,24,3900,3840,2428
48,741,8,4500,9420,2178
48,652,5,4800,5700,2549
48,894,7,4200,4080,3059
48,546,4,3900,6120,1544
48,859,5,4200,4380,603
48,339,9,5100,6120,2885
48,877,4,5100,5520,1321
48,1394,9,5400,5280,1522
48,1076,7,2700,3840,662
50,338,18,8100,9840,2206
50,508,9,9900,12540,1109
50,889,5,13500,15000,1229
50,1380,3,14400,15000,4996
56,866,17,11400,11940,620
56,1431,15,3600,3720,1077
56,874,10,11400,12300,1459
56,1437,12,6600,7200,3794
56,1385,7,11700,12540,1599
59,1385,14,13200,12000,1677
59,165,20,3300,1560,794
59,705,18,13200,11820,2710
59,154,21,4500,2580,2255
62,1437,14,4800,4680,3167
62,897,19,9600,9600,3559
64,856,23,3600,5100,1896
64,717,18,6300,6900,2963
65,362,14,3900,12900,2009
67,112,9,12900,19380,4146
67,1073,9,13200,13980,3368
67,130,10,14400,15000,1682
67,507,9,10800,11700,4895
67,1220,9,8100,10200,1745
67,1433,11,13500,14700,1121
67,844,15,2700,4140,1803
68,865,7,4500,4800,2772
68,1075,16,5100,6660,3897
70,120,2,10200,12420,2168
70,1092,8,10800,12300,1772
70,151,4,6000,7920,4695
70,365,9,4500,5880,3775
70,144,8,5100,5820,1983
70,721,11,5700,6780,731
70,1443,11,2700,4200,771
70,728,5,7500,8280,1332
70,1077,7,11100,12420,3108
70,332,9,13200,15300,5219
72,1076,44,3900,4380,2263
73,1246,16,6000,13080,1742
73,1396,15,3300,4620,1190
79,336,23,3900,3120,951
79,894,17,3600,2880,1804
79,1394,19,4800,4080,1308
82,1371,7,4800,4920,2833
82,461,5,8700,12360,4236
82,168,6,14100,15840,2459
82,994,11,3300,3900,1815
82,1035,10,2700,2640,912
82,136,10,13500,13380,3138
82,1262,4,5100,6180,2870
85,339,6,12900,14280,4994
85,866,15,2700,3300,685
85,326,5,3000,4200,1008
85,1439,4,4200,5580,2120
85,336,8,12300,12480,2290
85,356,2,3600,4680,616
85,730,4,3600,4740,2350
90,120,11,9600,10440,2413
90,488,2,3300,2760,2241
90,1435,7,5400,5100,4514
90,117,6,11400,13020,3981
90,1047,5,11400,12000,654
90,657,8,12900,12780,3598
92,1440,13,6600,6780,3322
92,1030,12,3300,3060,2443
92,168,18,7800,9360,5234
92,1012,15,10800,12000,3901
92,479,13,2700,3600,2073
94,153,11,7200,7260,1372
94,1024,7,8100,8580,1446
94,1082,4,6300,8160,3094
94,900,9,6300,9000,4345
94,1064,4,9000,9900,3991
94,298,3,3600,3660,2811
94,1078,6,6900,10200,1167
190,339,2,13800,15420,826
190,840,4,4500,5820,3114
190,849,9,5400,6000,4422
190,1096,8,5100,6360,841
190,116,5,3900,5340,2311
190,1408,7,4200,4980,1170
190,876,9,13800,14160,2525
191,681,30,12000,12600,4243
192,470,6,9000,9240,2646
192,1265,8,3000,3300,1627
192,540,5,9900,10200,1240
192,1004,5,3000,3780,1796
193,652,4,8100,9780,3680
193,339,6,8400,10200,1512
193,182,7,7500,9120,1631
199,150,20,13500,14460,4454
199,1017,14,6900,8100,2783
199,1386,11,7200,8940,1842
199,353,12,8700,9660,3501
199,355,19,11400,16020,4175
201,355,10,6900,12120,2796
201,353,15,4200,5760,3194
201,674,19,14100,18240,3597
201,663,11,14100,16440,3408
205,849,13,5400,5700,4009
205,334,14,2700,4200,1282
205,1001,8,4500,6420,2104
205,1385,8,3900,4740,2030
205,485,2,4500,6900,2900
205,866,16,3600,4140,2613
210,1030,12,9000,9360,5601
210,180,17,3000,4200,1797
210,548,20,4800,5580,2364
215,1026,12,9600,10560,4669
215,104,18,5400,7560,1571
220,689,15,6000,5880,3405
220,120,19,10800,11820,982
220,697,10,9600,10980,1507
220,656,8,13800,15480,4971
220,543,9,5100,17640,2331
220,548,17,14100,14100,2889
221,469,8,3600,4200,1450
221,130,8,12600,13020,5044
221,1194,12,13200,13800,4521
221,1092,11,10200,11100,4335
221,1414,9,6600,8160,1248
221,1278,12,6000,7080,3752
