arrival_flight_id,departure_flight_id,nb_connecting_pax,transfer_time_theoretical,transfer_time_actual,min_walking_time
0,995,14,3600,2040,2676
0,1017,7,8100,7620,840
0,1025,8,9000,8580,3319
0,891,8,4800,4560,1405
0,460,9,10800,10320,4754
0,707,7,9900,9720,1553
0,470,6,10800,9720,4970
0,104,7,7800,8040,749
0,682,7,9600,9480,2830
0,1071,4,3600,2820,706
4,366,26,9000,10920,5392
4,163,24,5400,6480,3447
7,1424,6,3300,3000,1941
7,162,9,6300,8400,1705
7,458,11,3300,3720,1723
7,1042,11,4200,5880,2581
7,355,12,6000,9780,3538
7,139,9,2700,2700,1596
9,1258,9,4800,18780,3859
9,719,3,4200,3840,749
9,362,9,3900,11460,2093
9,1078,11,3600,5760,1624
9,1235,3,3300,3720,2559
9,315,7,6900,7380,3442
9,1064,4,5700,5460,878
9,283,11,3900,2820,1145
9,1213,8,9000,8820,1619
12,298,5,3600,4440,2785
12,283,7,7200,8040,2192
12,899,8,5700,8040,4484
12,1078,11,6900,10980,2317
12,1024,3,8100,9360,4234
12,1440,7,5700,6780,628
12,165,3,6600,7380,2059
12,681,4,5700,7020,3327
14,1026,8,5400,6240,4093
14,133,6,3600,4320,1649
14,717,9,4800,5580,2357
14,1042,5,4200,6840,1226
14,459,1,3900,4800,1215
17,139,7,5400,5940,3739
17,675,8,4200,5520,2374
17,998,4,4800,5580,605
17,459,3,6600,7080,5117
17,506,4,10500,11760,5280
17,1015,11,4200,4680,2248
17,540,4,7800,8160,1712
17,1424,4,6000,6240,4626
17,329,4,4200,4920,1153
17,1241,4,4500,5040,2886
17,1051,6,3600,4560,1850
17,463,6,8400,9360,3172
17,133,10,6300,6600,813
18,851,3,3300,3960,2099
18,1398,9,4200,4620,1891
18,317,9,6300,7500,2985
18,310,5,4200,7620,1232
18,494,6,3000,3660,1559
23,689,4,4800,4800,3978
23,881,3,3000,8760,1514
23,1202,8,6300,6960,4940
23,511,8,7500,7920,3899
26,288,9,2700,3960,1929
27,366,4,6600,7560,4025
27,687,4,10200,9900,2561
27,511,6,7500,7800,1550
27,1377,2,3900,4140,1674
27,668,8,6600,6600,1527
27,1238,8,5400,4800,768
27,518,3,5700,5940,4578
29,707,5,5400,7800,3594
29,150,6,10200,12060,4227
29,1051,6,3000,5160,1504
29,1061,9,4800,9180,2258
29,460,6,6300,8400,3463
29,998,4,4200,6180,1167
29,355,8,8100,13620,2891
29,732,8,6900,9720,1608
35,461,9,9000,12780,1513
35,130,11,5400,5700,3907
35,1194,6,6000,6480,4933
35,188,3,6300,6420,1007
35,679,8,7500,9360,4457
35,1423,11,9000,14040,1041
37,1092,7,6300,7500,2253
37,338,8,8100,10080,5674
37,366,6,2700,4560,880
37,548,9,9000,9900,3960
37,1275,7,9600,10920,4331
37,1436,13,6900,8400,5572
37,1371,11,8400,9060,5045
42,845,9,6900,7860,2606
42,528,18,10200,10740,707
42,1279,22,9300,9540,3915
42,470,20,9600,9900,5284
43,134,13,8700,11880,2457
