arrival_flight_id,actual_passenger_count
0,192
4,117
7,136
9,160
12,98
14,83
17,168
18,72
23,63
26,24
27,73
29,142
35,148
37,169
42,174
43,129
44,145
45,160
48,122
50,118
56,186
59,151
62,67
64,97
65,41
67,170
68,67
70,154
72,129
73,71
79,132
82,120
85,142
90,122
92,165
94,139
190,116
191,94
192,66
193,41
199,179
201,178
205,185
210,124
215,96
220,191
221,186
222,116
223,133
224,172
225,197
226,171
227,73
228,71
231,83
236,91
239,160
240,134
249,140
250,178
251,121
252,98
260,81
261,109
264,133
266,193
278,169
279,92
280,136
281,129
368,134
373,153
375,91
377,162
378,121
380,177
381,193
382,93
387,128
393,98
397,159
398,153
399,104
400,126
401,143
409,111
410,182
412,133
415,142
417,127
421,180
425,168
430,131
435,130
436,60
437,131
438,125
439,48
440,159
441,132
444,115
445,155
446,129
454,69
456,99
457,42
567,119
568,192
569,180
571,195
572,195
574,120
576,75
579,75
585,126
586,151
592,121
593,165
596,165
597,161
598,118
599,46
600,70
601,170
615,117
620,128
622,169
623,165
624,119
627,50
628,181
630,173
632,72
633,65
637,137
638,146
640,154
641,113
646,176
747,164
748,62
749,67
751,171
752,136
753,113
754,153
755,173
760,140
768,107
770,66
774,170
778,110
791,60
797,199
799,134
801,179
804,125
809,62
811,123
814,43
816,133
821,95
822,132
823,178
833,171
834,167
836,148
837,167
908,179
910,67
914,160
915,142
916,71
918,96
919,133
920,121
923,113
925,95
929,135
930,114
933,178
934,166
936,120
938,138
940,126
944,140
945,143
946,160
948,98
950,129
952,128
953,61
957,179
958,165
959,127
961,139
966,72
969,113
982,167
985,127
986,73
987,119
1099,127
1100,139
1103,85
1107,165
1109,169
1110,56
1113,197
1114,196
1121,144
1122,174
1126,95
1131,109
1135,38
1137,179
1141,46
1143,158
1145,192
1149,115
1151,199
1153,128
1155,134
1157,137
1158,120
1162,55
1163,99
1166,105
1174,151
1175,131
1180,119
1181,134
1182,163
1183,174
1184,167
1186,125
1190,194
1281,119
1282,74
1290,134
1291,98
1294,109
1298,128
1302,136
1308,5
1309,104
1310,198
1315,62
1316,137
1318,123
1322,60
1323,168
1325,119
1326,106
1328,101
1330,120
1331,113
1334,164
1335,77
1337,74
1338,124
1340,156
1341,131
1343,84
1347,96
1348,78
1351,126
1352,171
1353,122
1357,133
1364,130
1366,126
